Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
TradingLab,1830000,0.4062507,0.257,0.048556663095951,205
Dr. Shadé Zahrai,1350000,0.4052274,0.389,0.089002326130867,390
LiveNOW from FOX,5300000,0.40500975,0.352,0.0580065660178661,27024
Sean Feucht,245000,0.40340078,0.463,0.1075373217463493,2122
STREETDAWG WORLDWIDE,18100,0.4032351,0.425,0.1233950331807136,315
The Washington Examiner,219000,0.3978842,0.395,0.0872588753700256,23650
Coach Schuman Sports and Entertainment,1460000,0.397521,0.425,0.101885087788105,17792
Tech With Tim,1890000,0.39624742,0.262,0.0399279966950416,1698
Veritasium,19400000,0.39583677,0.475,0.0867008715867996,465
Actualized.org,1120000,0.39453298,0.386,0.0835024043917656,531
J.J. McCullough,1000000,0.39447597,0.417,0.077554814517498,591
Critikal Reacts,50600,0.39316916,0.412,0.0956845879554748,1073
Criminal Tracks,31900,0.39282113,0.48,0.1422163546085357,299
USA TODAY,7410000,0.39109677,0.481,0.0820763036608696,28777
The Wall Street Journal,6460000,0.39017165,0.421,0.0748241022229194,28361
New York Post,2270000,0.38895237,0.479,0.0937163159251213,31640
Armchair Analysis,112000,0.38892,0.605,0.1808310449123382,43
Outstanding Screenplays,1670000,0.38326243,0.405,0.100671574473381,2107
Angelica Pham,1080000,0.38286144,0.217,0.043243184685707,1490
HealthyGamerGG,3100000,0.38092497,0.473,0.1013373211026191,2298
InspiringPhilosophy,493000,0.38022304,0.329,0.081324890255928,1268
CTV News,2160000,0.37921837,0.415,0.0812461376190185,78438
WGN News,667000,0.37901792,0.349,0.0648272484540939,78199
First We Feast,15100000,0.37624276,0.405,0.0870762541890144,2575
Top 10 Beyond The Screen,479000,0.37624013,0.526,0.1246889978647232,5954
Tommy Robinson,560000,0.37484044,0.428,0.1035177633166313,493
CBS Miami,670000,0.3740536,0.38,0.0819530263543129,103453
Entertainment Tonight,7460000,0.37334067,0.44,0.1041382476687431,51467
Pixelade,230000,0.37229156,0.306,0.0892026647925376,2137
Alex Pavlova 💛 BeautyForEverybody,28300,0.37227717,0.235,0.0573405586183071,2450
Filmy Charcha with Kunal,24600,0.37226045,0.411,0.1212559789419174,1235
CinemaBlend,323000,0.37198323,0.455,0.1063238754868507,3221
Alan's Universe,97300000,0.37183827,0.424,0.1301450580358505,1486
TED-Ed,22100000,0.3681743,0.466,0.0855861380696296,2311
SocialOrbit,254000,0.36688808,0.332,0.0784675180912017,495
Sharrell's World,614000,0.36641413,0.374,0.0838707238435745,3411
Massachusetts Institute of Technology (MIT),945000,0.36587226,0.367,0.0863527655601501,916
Billie Rae Brandt,456000,0.3655205,0.369,0.103621631860733,495
ox_zung 원정맨,12100000,0.3646615,0.321,0.12639681994915,2322
Gareth Soloway,200000,0.36327258,0.271,0.0699696317315101,1553
Intentional Tech,16000,0.35908157,0.247,0.0432015694677829,265
PsycHacks,931000,0.35876456,0.439,0.1004431694746017,2063
Umar Ashraf,879000,0.35669035,0.225,0.0573199652135372,668
Clen,16500,0.35373473,0.39,0.0950930938124656,2926
Justin Sung,1830000,0.3526804,0.243,0.0467720478773117,824
FOX 5 New York,946000,0.35154125,0.313,0.0764790624380111,22832
Momentum,867000,0.3512658,0.266,0.0627614557743072,1275
LeopARTnik,1560000,0.3498414,0.258,0.0603405758738517,632
Bopping,196000,0.3497752,0.433,0.1049478873610496,779
Sage,24300,0.349077,0.287,0.0466455370187759,1178
Andy Sterkowitz,351000,0.34724227,0.248,0.0581490956246852,154
Auditing Reno 911,30700,0.34710866,0.446,0.0900191217660904,6337
Weird History,4700000,0.3470624,0.491,0.1078485623002052,1045
Bloomberg News,2700000,0.34660685,0.402,0.0900710821151733,37673
RARE History,60100,0.3456701,0.502,0.1244994848966598,1072
Robert Greene ,2060000,0.34437633,0.508,0.0963106676936149,765
